"Plates45-3.flat.Label-Analysis"
"Volume3d (µm^3) ","Area3d (µm^2) ","BaryCenterX (µm) ","BaryCenterY (µm) ","BaryCenterZ (µm) ","Mean","index"
66451.2,8344.95,3196.9,880.338,471.333,2418.3,94
46714.4,8200.03,1948.7,1051.52,465.341,2497.57,95
2377.17,840.901,1553.48,1236.83,449.995,2828.14,96
8132.41,1948,2273.79,981.946,457.656,2271.06,97
281.506,197.771,3674.25,1174.64,449.081,4697.28,98
156.392,126.474,692.788,958.823,450.442,4900.3,99
12480.1,2610.87,3183.48,1254.57,460.521,1939.36,100
1376.25,590.549,4262.25,1257.33,453.574,3889.03,101
57615,7337.95,638.978,858.529,474.932,2421.67,102
74646.1,9304.34,3749.75,909.85,476.242,2458.05,103
1126.03,511.643,4387.56,980.934,457.417,3502.96,104
62.557,64.3534,4039.43,1217.78,452.068,6875.75,105
82919.3,9270.06,2656,902.058,479.666,2334.25,106
26227,4318.47,3518.16,943.567,470.124,2323.33,107
531.734,334.238,2481.64,1053.5,459.607,4438.12,108
109.475,100.682,3968.25,840.073,458.23,5974.29,109
234.589,176.7,877.928,856.459,459.612,3991,110
50796.3,6701.15,4456.78,897.633,476.898,2554.04,111
11979.7,2679.58,2686.09,939.123,471.21,2457.04,112
109.475,99.6755,4073.64,987.618,459.302,6568.43,113
63479.7,8390.2,2885.22,1026.03,484.882,2903.12,114
28416.5,4522.29,2779.85,1087.4,474.79,2480.52,115
312.785,209.405,3724.33,1151.13,459.195,4846.35,116
16812.2,3474.64,3706.98,1183.84,468.666,2365.46,117
15.6392,18.7876,844.084,1258.41,456.444,7950,118
52297.6,6822.31,3848.48,844.286,480.943,2324.56,119
93.8355,86.8153,2082.79,1101.7,460.195,6762.33,120
67749.2,8528.73,4074.95,1132.01,482.174,2583.91,121
297.146,207.07,1983.64,993.202,464.21,4509.95,122
49529.5,7006.81,1429.19,1131.33,482.124,2384.55,123
922.715,446.252,3988.09,1144.27,465.133,3821.85,124
35532.4,5295.97,3512.63,821.669,484.372,2241.33,125
29620.7,5015.26,2868.82,1126.5,481.837,2343.08,126
359.703,232.853,3600.46,1208.29,468.187,4001.09,127
1782.87,696.868,4372.74,999.695,471.427,2678.04,128
1172.94,524.595,2494.25,1063.99,472.482,3176.51,129
16468.1,3412.78,3772.36,972.898,484.351,2685.94,130
2564.84,1003.31,2394.88,1049.94,481.757,2750.88,131
25820.4,4266.73,3841.21,1128.34,486.668,2316.91,132
12151.7,2558.22,3633.61,813.189,482.997,2120.49,133
813.241,420.418,2514.21,964.334,476.883,3866.46,134
20096.4,3624.76,4022.47,1066.72,485.467,2471.42,135
10415.7,2312.36,2683.95,1101.91,484.407,2213.84,136
8132.41,1956.81,1681.75,1158.53,483.452,1777.86,137
250.228,178.983,3795.76,1191.68,473.949,4632,138
60836.7,9071.14,2616.52,810.727,503.587,2175.64,139
124066,12075.1,1868.55,910.073,503.623,2373.45,140
7350.45,2291.27,4032.22,804.313,492.913,2389.53,141
93460.1,10480.6,3709.96,855.005,508.384,2286.32,142
250.228,177.757,4171.34,981.142,481.764,5461.69,143
6568.48,1727.03,2291.79,1134.56,488.71,2348.67,144
41725.5,5876.04,2137.08,1232.33,498.524,2232.27,145
74380.3,9289.07,2740.41,1258.68,503.17,2306.59,146
42523.1,7448.89,3410.75,893.675,502.555,2284.11,147
25695.3,4702.13,4533.33,1097.01,502.762,2428.48,148
23255.6,4148,3958.74,1169.71,499.3,2229.12,149
16436.8,3132,4155.9,1211.2,498.267,2276.32,150
100951,13681.8,4376.59,1282.06,517.24,2553.81,151
4175.68,1255.48,3034.46,882.607,494.733,2135.11,152
437.899,268.828,3772.38,1050.58,489.936,5179.46,153
234.589,170.783,3408.53,1056.02,488.454,5802.07,154
29667.6,4979.85,4182.69,810.347,508.574,2252.9,155
31.2785,35.281,2504.59,1102.12,493.956,7093.5,156
531.734,312.089,3885.74,1147.87,497.633,4735.41,157
78.1962,76.2385,4199.1,887.802,497.957,6293,158
766.323,404.519,2542.35,829.355,504.622,3578.06,159
15.6392,18.7876,4347.65,1048.35,498.957,7870,160
78.1962,76.2281,2195.49,1147.38,500.958,7114.4,161
46.9177,50.4766,3839.99,804.109,508.126,7626.33,162
860.158,424.436,2600.44,1088.04,512.325,3761.58,163
109.475,101.667,844.084,1191.25,510.746,6889.71,164
15.6392,18.7876,3407.36,985.831,511.461,8356,165
78.1962,76.2385,4299.13,1163.89,515.462,7298.2,166
281.506,209.375,3840.83,1257.72,521.603,7704.44,167
156.392,135.963,776.564,997.335,527.966,6094.4,168
15.6392,18.7876,646.524,1083.36,526.465,8487,169
7647.59,1882.32,2783.17,1101.32,537.353,2434.65,170
78.1962,76.2281,372.441,1111.87,526.966,6981.4,171
328.424,218.633,2539.24,1140.04,529.681,4117.33,172
218.949,165.076,1183.83,1001.55,532.003,5755.64,173
62.557,63.3781,2267.02,1284.67,530.217,6430.5,174
359.703,232.843,2081.63,1031.82,541.905,4721.17,175
15.6392,18.7876,2154.48,1100.87,538.969,8723,176
62.557,65.6616,1184.19,1220.9,540.22,7334.75,177
31.2785,35.281,645.274,1105.87,541.47,8173.5,178
891.437,455.73,1181.38,1208.18,545.024,4276.02,179
2783.79,946.092,3951.91,825.389,550.279,2591.79,180
297.146,209.375,1249.21,886.591,548.709,5218.11,181
907.076,499.073,1230.02,1219.78,548.11,4473.07,182
15.6392,18.7876,3897.51,800.775,548.972,8414,183
31.2785,36.2667,3970.03,1057.1,552.723,8326,184
140.753,115.908,3906.12,1201.73,552.584,5820.11,185
46.9177,50.4766,2572.11,1201.73,552.307,7600.33,186
46.9177,50.4766,1179.19,1260.08,553.14,6341,187
15.6392,18.7876,1469.27,873.297,553.974,7662,188
46.9177,50.4766,1061.65,839.12,557.308,7881,189
3956.73,1510.47,2793.31,1030.09,570.135,7205.66,190
187.671,145.272,947.866,1051.27,561.059,6410.83,191
78.1962,76.2385,583.005,1053.85,559.976,7099,192
297.146,213.007,3648.62,847.895,565.556,5363.53,193
46.9177,50.4766,1192.52,950.821,563.143,7290,194
69391.3,8244.46,1572.56,854.414,589.577,2241.8,195
140.753,119.5,4162.31,992.222,565.644,6523.44,196
15.6392,18.7876,1099.16,930.815,566.478,7561,197
31.2785,35.281,4566.46,1285.92,566.478,7465.5,198
1047.83,488.789,793.696,973.962,573.756,4090.63,199
1501.37,634.755,1572.04,1210.53,574.553,3618.65,200
62.557,65.6514,2390.8,853.291,571.479,6523,201
187.671,151.169,3420.07,1085.65,573.563,6183.17,202
528544,32447,4215.2,1226.31,617.535,2561.16,203
31.2785,35.281,654.026,932.065,573.98,8463.5,204
62.557,63.3781,624.017,1174.64,575.23,7680.5,205
31.2785,35.2916,3732.46,918.311,577.731,8175.5,206
93.8355,89.0989,1007.47,1237.57,578.981,6223.33,207
62.557,64.3534,1394.88,1088.99,580.857,7161,208
31.2785,35.281,2883.45,1100.87,578.981,8218.5,209
78.1962,78.2302,431.959,1193.39,579.481,6547.4,210
1126.03,520.89,1540.61,1206.52,585.199,3321.63,211
375.342,244.656,3407.47,888.197,585.65,5189.67,212
15.6392,18.7876,3414.86,1055.85,581.482,7494,213
484.817,292.536,3886.46,1119.66,587.532,4163.97,214
31.2785,35.281,3018.49,1013.34,586.484,8089.5,215
15.6392,18.7876,3289.83,820.781,588.984,7285,216
1298.06,565.24,555.924,1223.19,594.86,3698.45,217
78.1962,76.2385,3548.41,1065.36,592.485,7614.2,218
31.2785,35.281,4508.95,1103.37,591.485,8639,219
62.557,64.3534,3316.71,952.696,595.861,7749.25,220
4785.61,1502.66,401.319,1035.53,604.308,2977.34,221
46.9177,50.4766,3452.38,1040.01,598.154,7313.33,222
31.2785,35.281,2613.37,1285.92,596.487,6198.5,223
62.557,64.6454,1471.15,942.068,599.613,7817.75,224
2564.84,900.062,3794.45,968.234,605.849,2786.28,225
1579.56,652.004,1448.03,1039.09,606.812,3533.65,226
93.8355,86.8153,1993.6,1007.5,607.74,6233.5,227
250.228,178.994,2191.06,1051.32,609.147,5357.75,228
15.6392,18.7876,1821.88,1130.88,606.49,8734,229
15.6392,18.7876,4262.62,1160.88,606.49,7976,230
62.557,65.6616,3454.88,840.787,610.866,7084.5,231
11760.7,3221.08,2790.14,1034.15,631.328,5759.09,232
78.1962,78.2302,380.943,1028.34,610.991,7102.4,233
93.8355,86.8047,3471.55,1049.6,609.824,7886.17,234
62.557,64.3534,850.961,1157.76,613.367,6019,235
78.1962,76.2385,4333.64,1005.34,614.992,6970.6,236
469.177,285.644,2384.22,1251.25,617.743,4372.47,237
31.2785,35.281,1186.69,877.048,616.493,6476.5,238
93.8355,89.0989,607.762,849.54,623.995,7179.67,239
46.9177,50.4766,3762.47,894.97,622.328,6368.33,240
156.392,132.048,4122.83,1246.66,623.995,6997,241
15.6392,18.7876,3262.32,1293.42,623.995,8378,242
31.2785,35.281,4596.47,1058.35,626.496,7390.5,243
750.684,385.773,4160.98,1273.68,630.247,4370.69,244
297.146,209.656,1062.18,863.821,636.104,4638.58,245
312.785,215.071,2623.37,961.949,633.748,5193.75,246
547.374,368.847,3272.61,1298.43,638.642,5884.51,247
484.817,306.537,1743.15,965.745,641.904,4426,248
281.506,197.52,2125.17,1024.04,636.499,5176.89,249
187.671,149.85,4275.13,1207.77,636.29,6821.67,250
297.146,203.478,948.853,1299.35,636.63,3505.42,251
234.589,172.061,2041.11,971.494,639.166,5125.53,252
359.703,231.524,395.904,1028.56,638.891,4543.26,253
156.392,132.089,902.352,1081.86,638.75,6425.4,254
703.766,374.502,3386.3,876.131,643.334,3722.56,255
844.519,444.903,4050.94,920.348,644.418,4755.56,256
4785.61,1349.32,3576.25,942.15,647.858,2463.63,257
250.228,179.98,2472.08,802.651,645.251,5217.56,258
46.9177,50.4766,915.772,1163.39,643.168,8236.67,259
93.8355,86.8153,1818.55,1220.07,642.751,5935.5,260
15.6392,18.7876,3717.46,920.812,644.001,7914,261
78.1962,76.2385,1057.15,974.828,645.001,5588,262
15.6392,18.7876,986.627,1083.36,644.001,6904,263
44321.6,6039.75,689.303,1154.79,664.993,2228.87,264
93.8355,86.8047,688.203,882.05,647.335,7792,265
547.374,312.191,594.151,1079.86,649.717,4664.77,266
3346.8,1095.92,615.183,909.266,657.802,2934.94,267
93.8355,86.8047,4329.31,1014.59,649.836,7878.83,268
62.557,64.3534,1940.04,1070.23,650.878,6779.25,269
187.671,146.299,2055.29,879.757,654.213,5099.5,270
578.652,324.308,4338.66,1065.04,654.95,4689.84,271
78.1962,78.5737,3380.85,1143.38,654.504,6342,272
31.2785,35.2916,1721.85,1233.41,652.754,6819.5,273
46.9177,50.4766,3017.24,827.45,654.838,7117.67,274
62.557,64.3534,2217.63,1005.21,655.88,6773.75,275
78.1962,78.5326,4262.12,1159.38,656.505,7304.6,276
46.9177,50.4766,2038.61,1300.93,655.671,7398.33,277
93.8355,90.1153,1132.09,866.212,658.172,6336.83,278
31.2785,35.281,4188.85,880.799,656.505,7873,279
93.8355,90.1153,2314.95,957.906,658.172,6510.83,280
985.272,470.957,1146.16,890.405,666.905,4229.63,281
14028.4,2792.95,2782.62,967.147,674.292,2225.45,282
234.589,170.783,1953.25,983.831,664.174,6066.67,283
750.684,397.627,2968.17,1110.66,666.3,4466.04,284
25679.6,4211.25,2178.1,1132.25,678.014,2097.49,285
172.032,142.906,3230.26,1288.88,664.007,6259.91,286
250.228,181.278,2644.63,1247.47,667.446,5416.25,287
31.2785,35.281,3207.3,1267.17,666.508,7401,288
234.589,170.783,3443.54,841.287,674.177,4816.8,289
218.949,168.709,3156.39,943.854,673.474,5551.93,290
31.2785,35.2916,3167.29,1005.84,672.76,8591,291
1079.11,491.739,1941.37,1043.02,676.149,3733.28,292
31.2785,35.281,1919.41,1177.14,671.509,8413.5,293
875.798,444.209,3029.08,1190.31,676.288,4221.59,294
46.9177,50.4766,2432.07,1242.58,673.177,6306,295
312.785,214.024,3757.34,936.566,677.261,5435.7,296
31.2785,35.281,2862.2,974.578,674.01,7237,297
125.114,103.047,4011.3,1254.66,675.261,5041,298
344.063,227.911,2054,891.598,680.489,4628.32,299
15.6392,18.7876,3377.35,840.787,679.012,8254,300
93.8355,86.8153,4160.92,857.459,680.262,5834.33,301
15.6392,18.7876,3654.94,973.328,679.012,8456,302
