"PlatesH2v2.mid.Label-Analysis"
"Volume3d (µm^3) ","Area3d (µm^2) ","BaryCenterX (µm) ","BaryCenterY (µm) ","BaryCenterZ (µm) ","Mean","index"
218.95,184.86,4618.58,3647.5,-34.7963,4632.29,100
20268.5,3606.3,2541.83,3659.38,-23.4318,2201.33,101
4253.88,1433.22,3136.5,3534.74,-25.3134,2821.19,102
1892.35,777.072,1173.58,3642.97,-26.6091,2565.02,103
46.9178,50.4662,3352.06,3401.77,-33.3673,5964.67,104
797.602,411.916,2392.9,3416.09,-27.5322,3468.02,105
8413.92,2007.79,1017.05,3435.53,-19.7479,2182.04,106
3518.83,1107.19,815.978,3439.56,-23.6977,2521.48,107
50264.6,6840.97,4285.12,3207.04,-8.09594,2582.21,108
63730,7867.9,3839.44,3272.15,-3.12561,2519,109
11917.1,2513,2086.42,3228.41,-8.73056,2220.19,110
12151.7,2543.93,1140.26,3392.55,-8.18913,2332.04,111
15.6393,18.7876,1468.15,3187.54,-18.3627,6980,112
16890.4,3189.31,1618.43,3278.05,-4.84475,2146.79,113
281.507,204.684,3103.65,3469.43,-13.917,4683.44,114
68390.5,8260.24,3500.34,3616.74,4.35853,2597.04,115
46.9178,50.4766,2051.67,3627.67,-16.6956,6473.67,116
2220.77,820.723,3612.63,3657.08,-10.5611,2809.06,117
37534.2,5479.52,4452.21,3284.24,3.0177,2489.94,118
53799,7230.3,4506.66,3570.86,8.34885,2851.93,119
7115.86,2286.38,1217.53,3676.9,-5.70506,3467.28,120
109.475,105.593,2428.45,3449.05,-11.575,5747.71,121
422.26,264.209,2113.91,3269.32,-6.78516,3444,122
24272.1,4212.97,3393.42,3598.58,7.49401,2383.18,123
31.2785,35.2916,2128.36,3327.58,-4.60857,6221.5,124
1298.06,573.493,4142.43,3365.75,-0.947822,3018.93,125
234.589,173.298,3771.19,3462.12,-3.02476,4011.53,126
84858.6,9856.55,4680.34,3628.71,19.9294,2968.28,127
6349.54,1668.97,3719.68,3498.91,7.95066,2542.39,128
250.228,178.994,1856.71,3595.01,-0.388541,4252.06,129
109.475,101.678,3438.75,3601.95,-1.21468,4941.57,130
1344.98,619.885,4210.79,3189.92,7.13918,2971.52,131
531.735,310.75,3507.01,3503.74,4.5854,3414.12,132
22583.1,3878.49,2529.71,3666.65,13.5167,2214.82,133
93.8355,86.8154,2595.16,3371.76,5.39447,6078.17,134
140.753,125.396,4050.61,3646.01,7.20057,5548,135
5301.71,1854.94,4521.97,3190.42,18.6913,2659.25,136
31.2785,35.2916,2260.9,3325.08,12.8967,6731,137
1016.55,486.897,3712.22,3530.95,16.7633,2988.22,138
2236.41,824.156,4490.07,3649.78,19.0087,3295.62,139
11260.3,2438.89,4734.6,3226.74,26.8593,2456.1,140
860.159,424.144,4411.14,3416.38,20.0125,3178.49,141
156.393,132.371,1693.72,3538.14,15.3975,4876.2,142
15.6393,18.7876,1763.24,3222.55,16.6479,7448,143
62.557,63.3781,1343.12,3413.86,17.8983,6375.5,144
891.437,544.661,3487.01,3438.14,26.3438,4148.86,145
390.981,252.918,3632.51,3463.92,19.2487,2866.92,146
422.26,259.329,3358.73,3604.79,21.6494,3644.89,147
218.95,168.386,721.856,3272.92,23.4357,4717.36,148
203.31,154.54,4137.62,3355.28,22.2265,4280.54,149
797.602,408.646,2439.53,3369.46,23.954,3148.86,150
172.032,144.225,4383.81,3426.25,23.0135,4838.18,151
1282.42,844.514,3891.85,3687.11,29.8836,3424.98,152
1126.03,515.568,922.641,3318.34,27.1024,3663.26,153
281.507,201.363,4520.61,3603.08,24.1502,5354.5,154
15.6393,18.7876,3873.89,3250.06,24.1502,5683,155
93.8355,86.8048,3300.38,3598.91,24.9837,5260.83,156
5833.44,1562.51,3376.05,3460.68,37.5322,2360.11,157
62.557,63.3781,1893.28,3473.87,27.9013,5349.25,158
15.6393,18.7876,3768.85,3262.56,29.1517,6300,159
78.1963,76.2385,721.928,3353.09,30.6521,6146,160
1876.71,724.964,1996.88,3267.46,44.1354,2446.59,161
46.9178,50.4662,783.78,3199.21,39.1547,6539.33,162
62.557,64.6454,4661,3316.33,42.2807,5786.5,163
31.2785,35.281,4747.9,3352.59,41.6555,7330.5,164
62.557,63.3781,1016.77,3670.18,42.9059,4758,165
15.6393,18.7876,2085.84,3687.69,41.6555,6273,166
62.557,63.3781,1595.69,3243.8,45.4066,6195.75,167
156.393,128.779,2049.83,3453.62,47.6573,4367.1,168
672.488,361.308,4721.06,3221.33,53.2869,2978.21,169
1376.25,605.766,3405.53,3497.12,55.296,3037.45,170
5348.62,1460.36,956.076,3566.14,60.6452,2276.42,171
688.127,376.807,1258.55,3282.68,59.0471,2781.05,172
1344.98,593.742,4138.04,3190.53,62.1268,3206.01,173
328.424,215,4371.54,3332.58,59.1608,4223.62,174
2424.08,938.528,3392.24,3502.73,67.0987,3367.42,175
2549.2,905.729,3958.73,3603.23,65.6658,2824.48,176
