"PlatesH3.flat.Label-Analysis"
"Volume3d (µm^3) ","Area3d (µm^2) ","BaryCenterX (µm) ","BaryCenterY (µm) ","BaryCenterZ (µm) ","Mean","index"
3909.81,1210.37,3146.8,3330.87,512.79,2126.78,106
21550.9,3733.11,2009.03,3343.25,518.685,1957.77,107
109.475,102.674,4326.78,3411.25,505.47,5918,108
62.557,63.3781,2607.87,3498.42,504.577,6246.5,109
31.2785,35.2916,1981.43,3123.3,507.078,6292.5,110
116168,11702.7,1819.28,3243.69,533.813,2356.73,111
25085.4,4166.66,2086.25,3264.98,523.051,2044.08,112
297.146,227.238,2457.63,3031.3,511.882,3662.89,113
8429.56,2002.92,4667.52,3152.27,520.252,1998.93,114
25836,4220.7,4674.67,3226.73,524.824,2401.25,115
19173.7,3487.62,4558.53,3311.8,522.503,2063.93,116
66591.9,7969.46,1941.11,3389.44,530.804,2203.14,117
6286.98,1630.64,1361.97,3480.59,519.327,1978.91,118
10103,2669.68,3540.34,3060.38,526.321,2570.6,119
50733.7,6765.91,2039.31,3109.67,533.057,2193.46,120
156.393,128.768,1187.19,3175.82,512.329,4508.9,121
2471,907.359,929.401,3329.65,517.904,2815.05,122
156.393,127.762,1680.09,3386.63,512.579,7116.1,123
29339.2,4605.5,2489.84,3224.22,530.123,2113.86,124
62.557,63.3781,2929.22,3504.67,514.58,4426.75,125
33389.8,5040.64,4576.29,3204.12,532.701,2346.78,126
140.753,119.5,1893.62,3049.39,519.998,4306.22,127
1829.79,718.462,714.42,3201.08,525.62,2731.76,128
469.178,281.488,4502.03,3237.5,523.166,3511.07,129
15.6393,18.7876,678.533,3243.34,518.331,7133,130
703.766,368.001,1724.57,3279.8,521.943,2951.8,131
43023.6,5947.04,3472.74,3069.03,545.469,1832.16,132
156.393,126.495,1860.14,3324.86,527.834,4850.9,133
78.1963,76.2385,2323.03,3516.42,527.334,5653.2,134
7459.92,2323.06,1766.39,3323.31,547.276,2982.34,135
203.31,159.17,1682.3,3373.76,534.875,7192.77,136
78.1963,76.2385,3181.29,3456.9,531.835,4389.6,137
15608,3294.29,3925.93,3183.47,552.204,2435.51,138
44837.7,6130.64,2821.01,3364.44,554.314,2130.92,139
15.6393,18.7876,2664.14,3428.4,533.336,7298,140
359.703,232.832,4519.59,3087.21,538.881,3575.26,141
234.589,174.334,3809.15,3483.91,540.004,3949.67,142
2345.89,844.373,2004.84,3495.8,548.274,2636.98,143
172.032,138.298,4346.01,3088.52,551.068,5405.09,144
46.9178,50.4766,2674.14,3204.99,549.174,5686.67,145
15.6393,18.7876,4694.75,3145.81,550.841,5676,146
297.146,226.916,1059.31,3159.5,557.29,4490.84,147
31.2785,35.281,4159.59,3244.59,550.841,7281,148
46.9178,50.4766,1613.82,3432.56,557.51,5437.67,149
31.2785,35.281,3793.23,3530.93,555.843,5089,150
218.95,165.045,3197.51,3440.72,563.523,4901.79,151
38378.7,5569,2618.74,3487.63,579.448,2195.4,152
328.424,217.617,1285.86,3481.98,566.322,4025.86,153
297.146,212.926,2954.62,3472.62,569.268,4413.95,154
1298.06,560.55,1163.29,3370.97,573.77,2999.17,155
203.31,158.091,4182.67,3067.9,573.156,4902.38,156
46.9178,50.4766,2774.17,3265.01,572.514,6410,157
125.114,108.934,730.424,3124.24,574.911,5461.5,158
1094.75,499.456,3259.57,3346.12,584.637,2077.36,159
31.2785,35.281,1456.27,3084.54,580.85,6699.5,160
62.557,63.3781,1776.37,3189.57,582.101,3948,161
3534.47,1109.54,1476.23,3124.58,595.235,2360.97,162
781.963,408.585,771.512,3276.25,592.804,3085.22,163
31.2785,35.281,3781.98,3039.53,590.853,6306.5,164
813.241,431.923,2518.52,3114.45,601.722,2830.67,165
31.2785,35.2916,2041.45,3425.9,599.606,5729,166
156.393,127.752,2277.27,3431.65,604.607,3015.8,167
15.6393,18.7876,2501.59,3108.3,605.858,6928,168
78.1963,76.2385,1585.81,3132.31,607.358,6104.6,169
1782.87,859.105,4256.07,3290.42,610.662,8555.95,170
578.652,325.272,3995.55,3380.14,609.71,3603.59,171
15.6393,18.7876,1693.84,3353.37,608.359,7044,172
93.8355,86.8154,2225.67,3179.99,612.11,4362.67,173
547.374,315.159,1235.92,3379.67,616.004,3261.8,174
218.95,165.066,3599.78,3385.35,612.646,4154.79,175
78.1963,76.2385,4055.06,3067.29,614.861,5708,176
140.753,119.5,2870.59,3068.56,619.195,5153.33,177
93.8355,86.8047,2057.7,3099.96,622.53,5406.83,178
1032.19,488.827,3991.55,3295.7,625.864,3036.7,179
78.1963,76.2385,2478.08,3218.83,624.864,5531,180
31.2785,35.281,3331.84,3252.09,623.363,6560,181
265.867,188.221,1383.89,3402.21,625.717,4478.65,182
15.6393,18.7876,1338.73,3415.89,623.363,6179,183
1047.83,488.174,4188.26,3463.74,628.514,3009.46,184
2908.9,976.925,1740.08,3045.52,634.859,2612.33,185
31.2785,35.281,2861.7,3317.11,625.864,6990,186
1251.14,550.598,2352.98,3464.88,630.928,2409.79,187
375.342,235.923,2629.02,3085.9,631.178,3348.46,188
78.1963,76.2385,3250.31,3082.79,632.366,5601.6,189
62.557,64.6454,4373.41,3102.67,631.491,6047.25,190
31.2785,35.2916,3231.81,3208.33,632.116,6640.5,191
453.538,277.361,1791.89,3242.22,634.315,3981.93,192
93.8355,91.4336,648.524,3032.03,633.366,4649.5,193
