"PlatesV3.flat.Label-Analysis"
"Volume3d (µm^3) ","Area3d (µm^2) ","BaryCenterX (µm) ","BaryCenterY (µm) ","BaryCenterZ (µm) ","Mean","index"
500.456,298.182,2413.46,3221.78,323.023,2733.94,105
2158.22,796.091,4151.91,3390.33,327.309,1846.43,106
109.475,99.6755,1409.42,3168.32,327.042,3610.14,107
15.6393,18.7876,2395.79,3459.12,324.899,5813,108
140.753,123.807,1495.52,3534.7,329.9,3729.78,109
78.1963,76.2385,2269.76,3392.1,331.401,5094.6,110
2048.74,769.553,2541.53,3557.53,336.085,2213.92,111
3393.72,1084.33,2524.89,3621.69,340.618,1818.31,112
672.488,363.321,3582.2,3593.41,340.136,2500.58,113
23443.2,4009.55,4268.93,3590.8,358.645,1975.89,114
719.406,375.59,4693.07,3410.36,351.157,4286.02,115
3518.83,1106.59,3366.06,3193.81,358.353,2001.75,116
3268.6,1047.03,1158.92,3358.67,359.754,2042.22,117
31.2785,35.281,1430.5,3417.86,354.908,5114.5,118
1298.06,565.773,4668.53,3524.02,362.953,2718.54,119
1407.53,652.138,3842.65,3202.91,369.135,4747.38,120
703.766,367.74,4255.36,3242.72,369.579,2412.93,121
46.9178,50.4662,2211.57,3377.43,364.911,4963,122
234.589,172.05,4120.48,3419.28,366.745,3314.73,123
15.6393,18.7876,1910.65,3549.15,364.911,5275,124
140.753,115.908,2817.31,3157.36,368.801,3339.56,125
172.032,140.289,820.316,3269.97,369.913,3902.82,126
203.31,153.263,3684.84,3449.12,373.375,3190.92,127
125.114,110.252,939.102,3546.02,377.415,4032,128
46.9178,50.4766,3486.13,3559.99,376.581,5025,129
140.753,122.831,1313.52,3166.53,380.749,4521,130
109.475,96.0732,3207.11,3420.18,378.844,4853.14,131
46.9178,51.7438,3852.9,3218.22,381.583,6065.67,132
2471,992.323,3853.72,3244.91,388.605,5869.82,133
172.032,147.848,1088.58,3281.11,385.372,4731.09,134
46.9178,50.4766,3857.91,3201.54,386.584,6288.67,135
500.456,296.591,4558.64,3403.25,389.84,2856.72,136
907.077,452.149,4451.85,3279.41,392.031,2868.16,137
390.981,245.37,2352.68,3303.87,392.419,3158.28,138
500.456,293.322,4220.57,3390.9,392.654,2518.59,139
218.95,165.076,640.44,3367.49,398.135,3474.93,140
15.6393,18.7876,2628.37,3409.11,394.92,5378,141
31.2785,35.281,1576.8,3434.11,397.421,4193.5,142
7929.1,1910.51,3837.44,3548.82,406.827,1771.06,143
437.899,267.791,1089.86,3556.21,407.156,2724.89,144
234.589,173.318,3379.09,3429.61,407.924,3644.47,145
15.6393,18.7876,1182.93,3451.62,404.923,4692,146
9430.47,2173.27,3215.53,3441.76,422.296,1875.49,147
422.26,263.212,2682.83,3558.69,414.37,3112.81,148
109.475,102.262,735.29,3385.17,415.283,4481.86,149
15.6393,18.7876,1520.53,3459.12,412.425,6152,150
156.393,128.779,2919.45,3200.04,416.677,2880.6,151
218.95,169.716,1269.38,3294.96,415.998,4454.57,152
297.146,209.364,2814.34,3382.91,417.822,3557.58,153
62.557,63.3781,1339.22,3146.53,418.677,4546.75,154
14403.8,2864.66,2439.89,3449.83,430.612,1915.76,155
2533.56,1121.39,3850.74,3215.92,433.049,7447.47,156
125.114,103.047,2362.03,3297.82,426.18,3161.38,157
15.6393,18.7876,2108.21,3489.13,424.929,5854,158
953.995,458.6,1084.13,3214.21,431.571,2262.39,159
5473.74,1498.38,4493.49,3250.47,438.691,1810.39,160
156.393,133.387,1814.87,3395.85,428.93,3667.3,161
281.507,197.771,2410.1,3242.81,432.57,3580.89,162
15.6393,18.7876,1425.5,3276.57,429.931,5898,163
46.9178,50.4766,821.15,3596.66,430.764,4794.67,164
15.6393,18.7876,1413,3414.11,432.432,6058,165
891.437,481.101,2860.54,3206.85,441.82,2473.68,166
109.475,99.6755,1697.37,3348.02,437.076,3792.43,167
187.671,146.289,3989.82,3164.24,440.767,3796.33,168
93.8355,86.8154,3547.81,3229.89,438.683,4617.33,169
15.6393,18.7876,1312.97,3379.1,437.433,5223,170
62.557,63.3781,2332.03,3529.14,438.683,4241.25,171
46.9178,50.4766,2493.32,3455.79,441.601,4974.33,172
15.6393,18.7876,2803.42,3626.67,444.935,5982,173
31.2785,35.2916,2148.22,3436.62,448.686,4688.5,174
156.393,131.354,1921.65,3536.9,449.937,3712.6,175
46.9178,50.4766,2963.47,3193.21,451.604,4262.67,176
62.557,63.3781,1152.92,3197.79,451.187,3304.25,177
46.9178,50.4766,3401.1,3433.28,450.77,4587.67,178
31.2785,35.281,2370.79,3557.9,449.937,4754,179
563.013,320.08,4324.09,3158.27,459.523,2569.61,180
140.753,122.821,3434.17,3274.9,457.439,3562.44,181
234.589,176.628,4521.11,3394.94,460.107,3398.4,182
78.1963,76.2385,3907.25,3461.12,458.439,5725,183
172.032,139.314,2443.31,3477.76,459.258,2286.09,184
15.6393,18.7876,1888.14,3486.63,457.439,5865,185
187.671,149.901,1987.34,3547.07,462.649,4119.5,186
62.557,63.3781,3945.01,3219.05,463.691,5131,187
78.1963,76.2385,2414.8,3403.61,463.941,4426.6,188
328.424,234.09,3568.41,3455.67,466.728,2888.52,189
93.8355,86.8047,3800.39,3495.38,463.274,5366.83,190
844.52,445.527,2757.11,3588.37,467.581,5515.54,191
531.735,316.056,2769,3603.28,468.104,5159.26,192
3284.24,1413.91,2811.31,3588.05,474.682,5918.93,193
62.557,64.6452,3955.64,3359.72,471.193,5125.25,194
31.2785,35.281,3761.21,3362.84,469.943,4417,195
78.1963,76.2385,3823.23,3493.13,471.443,6181.2,196
62.557,63.3573,2529.59,3330.33,472.444,5594.5,197
437.899,268.828,2660.87,3521.28,475.927,2369.82,198
125.114,112.938,2103.21,3529.46,475.257,3481.88,199
15.6393,18.7876,3113.51,3149.03,474.944,5802,200
46.9178,50.4766,4429.75,3466.62,476.612,5476.33,201
93.8355,91.3933,1382.57,3500.38,476.612,4451.5,202
10321.9,2409.29,1830.1,3640.42,489.381,1465.94,203
2861.98,957.576,890.214,3404.17,484.865,1828.64,204
1094.75,509.41,1199.25,3470.23,481.696,2203.76,205
109.475,99.6758,3811.58,3493.42,478.874,6238.29,206
15.6393,18.7876,3516.13,3574.16,477.445,5962,207
516.095,298.998,2515.83,3205.33,482.901,2613.36,208
93.8355,90.4071,1716,3506.22,481.196,3913,209
344.064,234.371,3661.75,3510.84,483.356,3850.32,210
46.9178,50.4766,3505.3,3421.61,484.114,4826,211
265.867,195.477,1669.84,3235.23,488.184,3255.82,212
3252.96,1222.31,4524.64,3341.87,496.177,2785.82,213
641.209,346.134,943.829,3415.21,489.217,2239.59,214
156.393,133.346,1523.53,3414.36,489.699,4106.4,215
78.1963,76.2385,2882.94,3512.64,488.449,3780.8,216
62.557,65.6723,1708.09,3626.05,489.949,3591.25,217
15.6393,18.7876,1468.01,3304.07,489.949,5693,218
93.8355,90.1257,2126.13,3448.29,492.867,4951.33,219
15.6393,18.7876,1735.59,3449.12,492.45,5741,220
500.456,297.196,3317.09,3510.78,496.045,2656.47,221
93.8355,86.8047,2857.18,3640.84,494.117,4627.17,222
140.753,115.908,2972.08,3189.87,496.34,3296.56,223
15.6393,18.7876,1175.42,3259.06,494.951,5215,224
140.753,124.129,1962.61,3351.31,504.954,4886.67,225
265.867,191.603,3612.34,3356.3,505.248,3041.35,226
250.228,177.757,3544.89,3354.4,507.767,3165.38,227
31.2785,35.281,2523.33,3347.84,507.454,5444,228
469.178,282.705,2448.14,3517.81,511.956,2975.33,229
31.2785,35.281,2788.41,3225.3,509.955,5392,230
766.323,394.608,3739.67,3331.84,515.926,2277.31,231
93.8355,86.8047,4300.12,3455.79,513.289,5651.33,232
31.2785,35.281,2540.84,3262.81,514.957,4257.5,233
250.228,182.597,2301.39,3473.81,518.083,2611.56,234
1501.37,705.348,1134.73,3459.36,521.756,2938.95,235
15.6393,18.7876,2900.95,3301.57,519.958,5251,236
46.9178,50.4766,1295.46,3375.76,520.792,5883.33,237
2283.33,828.848,3873.76,3250.12,528.916,2287.3,238
31.2785,35.2916,1993.17,3236.55,526.21,5211.5,239
31.2785,35.281,2975.97,3312.83,524.96,3979.5,240
281.507,200.106,3702.02,3514,528.155,3197.33,241
93.8355,96.0423,1963.16,3332.83,530.378,5816.83,242
828.88,431.056,2856.64,3456.81,541.38,3167.08,243
218.95,161.515,4435.16,3209.05,543.179,3442.64,244
375.342,244.656,815.836,3255.94,544.132,2699.96,245
46.9178,50.4766,2985.97,3535.81,540.798,4858,246
109.475,99.6755,1993.89,3323.01,545.323,4438.29,247
969.634,484.843,3978.41,3237.72,548.677,2928.37,248
2033.1,774.625,2850.55,3440.4,553.757,2693.72,249
3315.52,1060.35,732.707,3632.64,557.127,1963.82,250
109.475,102.986,3519.35,3211.55,553.182,3462.86,251
563.013,320.664,2196.29,3238.43,557.678,2365.75,252
625.57,337.59,4058.05,3465.37,556.844,3019.55,253
46.9178,50.4766,1094.57,3501.63,554.135,4038.67,254
516.095,305.156,1216.04,3413.96,558.682,3017.82,255
15.6393,18.7876,2340.78,3256.56,562.471,6229,256
31.2785,35.281,3045.99,3240.31,564.972,6021,257
31.2785,35.281,2161.97,3291.57,567.473,5816,258
93.8355,90.1049,2146.55,3469.54,572.057,4192,259
1298.06,647.896,1080.33,3482.74,578.44,3045.75,260
172.032,144.949,2999.16,3638.04,575.43,3361.64,261
