"PlatesH1v2.mid.Label-Analysis"
"Volume3d (µm^3) ","Area3d (µm^2) ","BaryCenterX (µm) ","BaryCenterY (µm) ","BaryCenterZ (µm) ","Mean","index"
111633,20709.2,1748.01,867.77,774.186,9209.1,1
78.1962,76.2281,3675.07,868.951,753.51,1932.4,2
2987.1,994.287,4048.67,1214.17,758.967,2235.52,3
15.6392,18.7876,712.672,1237.56,753.01,1853,4
250.228,177.757,1356.62,892.77,758.324,2937.94,5
1126.03,517.851,1995.77,1008.64,760.304,2811.9,6
93.8355,86.8047,2925.01,1051.26,757.178,2670.17,7
281.506,208.41,4345.44,835.774,764.541,3150.89,8
140.753,120.496,2591.58,1202,771.071,2522.11,9
15.6392,18.7876,3255.94,1275.07,768.015,2801,10
125.114,103.047,1179.06,978.734,781.769,3667.88,11
390.981,242.897,3983.67,1159.84,785.72,2986.12,12
93.8355,91.4752,2689.52,1335.09,790.522,5830.33,13
234.589,170.783,1631.78,910.463,793.189,2610.6,14
3159.13,1041.01,2008.7,1008.24,802.047,2064.3,15
93.8355,86.8047,1221.58,1069.18,793.856,3778,16
78.1962,76.2281,3079.89,878.954,796.023,3074.8,17
140.753,119.51,3874.47,952.754,796.912,3237.44,18
125.114,103.047,3237.19,1158.79,796.773,3022.88,19
109.475,96.0732,2559.66,863.521,799.096,2096.57,20
78.1962,76.2385,4250.25,1222.06,799.024,2043,21
17312.6,3243.96,2196.67,1307.49,815.943,1903.22,22
15.6392,18.7876,542.62,1177.54,805.526,3618,23
78.1962,76.2281,2717.28,918.966,808.527,3417,24
93.8355,86.8047,991.507,1046.67,809.694,3031.5,25
1861.07,721.742,2008.49,1273.75,813.638,2435.1,26
1673.4,673.156,707.694,976.455,816.791,2503.49,27
3440.63,1112.43,4362.19,1023.2,818.712,2283.4,28
453.538,274.826,509.162,1245.41,812.597,2992.79,29
203.31,153.263,2369.52,902.461,817.068,2225.38,30
31.2785,35.281,1205.32,1143.78,818.03,4803.5,31
328.424,216.63,4393.91,1180.05,821.602,3586.67,32
46.9177,50.4766,3452.67,1195.05,818.863,3186,33
2815.06,966.009,445.785,850.82,829.506,2691.06,34
286918,26396.9,2299.84,1075.41,868.913,2559.92,35
2314.61,837.896,1582.62,1030.9,831.919,2498.79,36
4629.22,1345.83,3357.91,894.891,838.416,2201.19,37
15.6392,18.7876,3083.39,924.968,830.534,4535,38
15.6392,18.7876,4196.23,1332.59,830.534,4311,39
23865.5,4283.46,3309.8,844.367,853.316,2189.12,40
57771.4,7500.9,2746.43,972.343,855.224,2422.66,41
31.2785,35.2916,2850.82,1020,834.285,4433.5,42
64902.9,8587.83,3886.02,1238.14,855.031,2390.28,43
14560.1,3276.34,4575.6,1006.72,854.032,2586.71,44
36689.7,5388.22,1706.09,1048.5,855.655,2198.26,45
218.949,161.515,3884.89,1124.31,838.036,2066.43,46
1360.61,585.336,1981.07,1297.61,842.204,2311.15,47
4613.58,1835.78,616.965,837.06,852.506,2862.91,48
218.949,166.354,2676.13,1070.19,840.001,2989.14,49
69657.2,8954.09,2083.64,1305.13,862.965,2205.33,50
128085,12573.2,2534.02,916.527,872.876,2640.12,51
181102,16841.8,1176.56,1170.26,877.77,2620.42,52
16124.1,3808.57,795.638,876.197,857.62,2509.08,53
26305.2,4357.98,1916.01,945.854,861.542,2179.28,54
1016.55,517.903,1246.87,1152.81,850.347,2742.32,55
5004.56,1392.14,1324.01,863.371,854.307,2131.44,56
20284.1,4203.45,1751.49,964.488,862.305,2346.48,57
46.9177,50.4766,1557.93,1093.35,847.205,3176,58
15.6392,18.7876,2393.18,1327.59,845.538,2603,59
11463.6,2811.93,1269.25,1329.9,862.853,2069.27,60
281.506,194.21,2136.44,955.394,850.818,2713.11,61
25476.3,4463.83,2883.24,863.183,872.07,2095.01,62
46.9177,50.4766,2697.44,1317.59,853.874,3041.33,63
31.2785,35.281,1461.65,1017.5,855.541,3549.5,64
20534.3,3612.44,627.069,1106.88,875.45,2157.94,65
62.557,63.3781,2743.29,1303.83,859.292,3771.5,66
2064.38,775.762,2326.65,890.544,868.367,2082.64,67
344.063,224.601,3328.01,1018.06,863.953,2521.64,68
1470.09,616.118,4062.55,1193.27,866.475,2559.15,69
13418.5,2744.21,2594.52,1224.12,873.88,1925.87,70
31.2785,35.281,4162.47,1280.08,860.543,3579,71
281.506,194.22,3254.97,940.111,870.685,3197,72
93804.2,10224.3,3768.58,942.341,896.068,2522.56,73
